kinase,vial,PFU
NSV,1,4.00E+08
NSV,2,1.00E+08
NSV,3,2.00E+08
RIO3,1,1.00E+08
RIO3,2,1.00E+08
RIO3,3,1.50E+08
TGFa,1,3.00E+08
TGFa,2,1.75E+08
TGFa,3,3.00E+08
SKAP1,1,1.00E+08
SKAP1,2,1.00E+08
SKAP1,3,2.00E+08
EPHA1,1,2.50E+08
EPHA1,2,5.00E+08
EPHA1,3,2.00E+08
CSNK2B,1,1.00E+08
CSNK2B,2,2.00E+08
CSNK2B,3,8.00E+07
GUCY2D,1,1.00E+08
GUCY2D,2,1.00E+08
GUCY2D,3,4.00E+08
